dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.ispartofbook;item.journal.title;dc.relation.medium;dc.title;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/255146;eng ita;2001;-0;internazionale;Edizioni Poli.Design;-0;Milano;-0;-0;-0;Un progetto pilota.DxD-Design dor District, Progetti per un distretto, Prodotto, Comunicazione strategica;-0;06.1 Curatela;none;3;"CELASCHI, FLAVIANO;COLLINA, LUISA MARIA VIRGINIA;SIMONELLI, GIULIANO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/270178;eng ita;2001;-0;internazionale;Edizioni Poli.Design;-0;Milano;-0;-0;-0;The themes of designing designers 2001;-0;06.1 Curatela;none;2;"COLLINA, LUISA MARIA VIRGINIA;SIMONELLI, GIULIANO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/242676;-0;2002;-0;nazionale;Edizioni Poli.Design;-0;Milano;-0;-0;-0;Il design dell'ospitalità: la sala delle feste dell'Hotel Hilton Milan;-0;06.1 Curatela;none;3;"COLLINA, LUISA MARIA VIRGINIA;CRESPI, LUCIANO;F. Reinhart";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/267750;-0;2002;-0;nazionale;Edizioni Poli.Design;-0;Milano;-0;-0;-0;Movie Design per la comunicazione aziendale: Il Caso Mangiameli;-0;06.1 Curatela;none;1;GALBIATI, MARIA LUISA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532321;ita;2002;-0;-0;Edizioni Libria;ITA;MELFI (PZ);-0;-0;-0;Rinnovare la tradizione: il design per il comparto ceramico di Cerreto Sannita e San Lorenzello.;design per lo sviluppo locale; product design; communication design;06.1 Curatela;none;3;"V. CRISTALLO;A. MORONE;PARENTE, MARINA";;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532385;-0;2002;-0;-0;M&B Publishing;ITA;MILANO;-0;-0;-0;Almanacco Tikkun 2002-2003;-0;06.1 Curatela;none;3;"ZINGALE, SALVATORE;BONFANTINI M. A;S.T.O.C.C.H.I. G.";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532420;ita;2002;-0;internazionale;Il Sole 24 Ore Edizioni;ITA;MILANO;-0;-0;-0;I territori del design. Made in Italy e Sistemi Produttivi Locali;-0;06.1 Curatela;none;2;"MAFFEI, STEFANO;SIMONELLI, GIULIANO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/557131;-0;2002;-0;internazionale;Il Sole 24 Ore;-0;Milano;-0;-0;-0;Milano distretto del Design: un sistema di luoghi, attori e relazioni al servizio dell’innovazione;-0;06.1 Curatela;none;3;"BERTOLA, PAOLA;SANGIORGI, DANIELA;SIMONELLI, GIULIANO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/557135;ita;2002;-0;nazionale;Esselibri;-0;Napoli;-0;-0;-0;Edilizia sostenibile: 44 progetti dimostrativi;-0;06.1 Curatela;none;2;"PIARDI, SILVIA ELVIRA MARIA;SCUDO, GIOVANNI";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/568593;-0;2002;-0;nazionale;Soprintendenza archeologica di Pompei;-0;Napoli;-0;-0;-0;Il design della comunicazione. L'esperienza della Soprintendenza archeologica di Pompei;-0;06.1 Curatela;none;1;RICCO', DINA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/692920;ita;2002;-0;-0;-0;-0;-0;-0;-0;-0;"Italic 1.0
Il disegno dei caratteri contemporaneo in Italia";-0;06.1 Curatela;none;3;"P. Lenarduzzi;PIAZZA, MARIO;S. Sfligiotti";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/989812;ita;2002;-0;-0;Clup;-0;-0;-0;-0;-0;Diritto d’Autori;-0;06.1 Curatela;info:eu-repo/semantics/closedAccess;2;"CRIPPA, DAVIDE;DI PRETE, BARBARA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/264497;eng ita;2002;-0;internazionale;Silvana Editoriale;-0;Milano;-0;-0;-0;Design for working places. Environment, energy, new technologies;-0;06.1 Curatela;none;1;INGARAMO, MATTEO ORESTE;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/504754;eng ita;2002;-0;-0;POLIdesign;ITA;MILANO;-0;-0;-0;DesignNet. Knowledge e Information Management per il design;design knowledge; interfacce;06.1 Curatela;none;2;"CIUCCARELLI, PAOLO;INNOCENTI, PERLA";;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/242611;ita;2003;-0;internazionale;Liguori Editore;-0;Napoli;-0;-0;-0;Nuove specie di spazi;-0;06.1 Curatela;none;2;"FARE', IDA MARIA LUISA;PIARDI, SILVIA ELVIRA MARIA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/254410;-0;2003;-0;nazionale;Edizioni Poli.Design;-0;Milano;-0;-0;-0;DiLabb;-0;06.1 Curatela;none;3;"DESERTI, ALESSANDRO;GALBIATI, MARIA LUISA;GALLI, FRANCESCO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/262254;-0;2003;-0;nazionale;Libreria Clup;-0;Milano;-0;-0;-0;Progettare e costruire imbarcazioni da diporto;-0;06.1 Curatela;none;2;"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/264969;-0;2003;-0;internazionale;Edizioni Poli.Design;-0;Milano;-0;-0;-0;CimbalImage. Il movie design per la comunicazione d'impresa. Un progetto per il gruppo Cimbali-Faema;-0;06.1 Curatela;none;2;"GALBIATI, MARIA LUISA;TERRANOVA, ANDREA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532240;ita;2003;-0;-0;FrancoAngeli;ITA;MILANO;-0;-0;-0;La creatività diffusa. Culture e mestieri della moda oggi;-0;06.1 Curatela;none;1;VOLONTE', PAOLO GAETANO;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532322;ita;2003;-0;-0;edizioni CLEAN;ITA;NAPOLI;-0;-0;-0;Design e sistema-prodotto alimentare. Un'esperienza territoriale di ricerca azione.;food design; ricerca-azione; design per lo sviluppo locale;06.1 Curatela;none;4;"V. CRISTALLO;E. GUIDA;A. MORONE;PARENTE, MARINA";;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532345;-0;2003;-0;internazionale;poli.design;ITA;MILANO;-0;-0;-0;Designing Designers: Design for a local global world;-0;06.1 Curatela;none;2;"COLLINA, LUISA MARIA VIRGINIA;SIMONELLI, GIULIANO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532386;-0;2003;-0;nazionale;Moretti&Vitali;ITA;BERGAMO;-0;-0;-0;Un edificio per il terziario. La nuova sede ABB Italia a Sesto San Giovanni;-0;06.1 Curatela;none;1;ZINGALE, SALVATORE;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532511;ita;2003;-0;nazionale;Polidesign;ITA;MILANO;-0;-0;-0;Ricerca design e sperimentazione per l’innovazione di prodotto nel settore dell’accessorio moda: il caso Mangiameli;-0;06.1 Curatela;none;1;BERTOLA, PAOLA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532576;ita;2003;-0;nazionale;Clup;ITA;MILANO;-0;-0;-0;Progettare e costruire imbarcazioni da diporto;-0;06.1 Curatela;none;2;"RATTI, ANDREA;PIARDI, SILVIA ELVIRA MARIA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/547790;ita;2003;-0;-0;Poli.design;ITA;Milano;-0;-0;-0;STAR | Sistema Topologico Argomentativo della Ricerca | Costruire l’organizzazione della conoscenza |Il caso ME.Design;-0;06.1 Curatela;none;2;"CASTELLI, ANTONELLA;VILLARI, BEATRICE";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/570243;eng;2003;-0;internazionale;CHARTA;ITA;Milano;-0;-0;-0;Acqua-da-bere;-0;06.1 Curatela;info:eu-repo/semantics/closedAccess;1;BARBARA, ANNA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/666015;ita;2003;-0;-0;Alinea;-0;Firenze;-0;-0;-0;16 tisaniere;-0;06.1 Curatela;none;1;TONELLI, MARIA CRISTINA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/690865;ita;2003;-0;-0;Gli Ori;ITA;Prato;-0;-0;-0;Il Giardino di Daniel Spoerri;arte ambientale; arte ambientata; ready made;06.1 Curatela;none;1;MAZZANTI, ANNA;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/693207;ita;2003;-0;nazionale;CASVA, Centro di Alti Studi sulle Arti Visive, Comune di Milano;-0;Milano;-0;-0;-0;Gli archivi di architettura in Lombardia. Censimento delle fonti;-0;06.1 Curatela;none;1;CIAGA', GRAZIELLA LEYLA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/242853;ita;2004;-0;nazionale;Casa Editrice Charta;-0;Milano;Come comete. Annunci e messaggi nella grafica della Triennale;-0;-0;Come Comete. Annunci e messaggi nella grafica della Triennale;Storia del design della comunicazione; Triennale di Milano; grafica; Milano; anni trenta; anni quaranta; anni cinquanta; anni settanta; anni ottanta; anni novanta;06.1 Curatela;info:eu-repo/semantics/closedAccess;2;"S. Annicchiarico;PIAZZA, MARIO"
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/244604;-0;2004;-0;internazionale;Edizioni Poli.Design;-0;Milano;-0;-0;-0;Design Multiverso. Appunti di Fenomenologia del Design;-0;06.1 Curatela;none;2;"BERTOLA, PAOLA;MANZINI, EZIO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/250135;-0;2004;-0;nazionale;Clup;-0;Milano;-0;-0;-0;Costruire imbarcazioni da diporto;-0;06.1 Curatela;none;2;"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/255226;ita;2004;-0;nazionale;Edizioni Poli.Design;ITA;Milano;-0;-0;-0;Il corpo delle cose;-0;06.1 Curatela;none;1;COLLINA, LUISA MARIA VIRGINIA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/263492;ita;2004;-0;nazionale;Moretti&Vitali;-0;Milano;-0;-0;-0;L'usabilità dei prodotti industriali;Usabilità; User centred design; qualità d'uso;06.1 Curatela;none;2;"ANSELMI, LAURA;TOSI, FRANCESCA";;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532346;-0;2004;-0;internazionale;Cranfield University;-0;-0;-0;-0;-0;Solution oriented partnership. How to design industrialised sustainable solutions;-0;06.1 Curatela;none;3;"MANZINI, EZIO;COLLINA, LUISA MARIA VIRGINIA;STEVE EVANS";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532533;ita;2004;-0;internazionale;-0;-0;-0;-0;-0;-0;Progetto giovane;-0;06.1 Curatela;none;2;"SIMONELLI, GIULIANO;BARONI D.";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532706;ita;2004;-0;nazionale;FrancoAngeli;ITA;MILANO;-0;-0;-0;Design della comunicazione ed esperienze di acquisto;-0;06.1 Curatela;none;1;BUCCHETTI, VALERIA LUISA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/554612;ita;2004;-0;nazionale;Edizioni POLI.Design;ITA;Milano;-0;-0;-0;Sapere, immaginare, fare: il design d’innovazione per l’elettrodomestico. Formazione post-lauream per il design dei prodotti a media complessità;-0;06.1 Curatela;info:eu-repo/semantics/closedAccess;1;RAMPINO, LUCIA ROSA ELENA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/554653;-0;2004;-0;nazionale;La rivista del colore;-0;Vimercate (MI);-0;-0;-0;Design e finitura dei compositi derivati dal legno;-0;06.1 Curatela;none;1;INGARAMO, MATTEO ORESTE;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/563132;ita;2004;-0;-0;Apogeo;ITA;MILANO;-0;-0;-0;Interaction Design;-0;06.1 Curatela;none;1;RIZZO, FRANCESCA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/641735;ita;2004;-0;-0;Maschietto Editore;ITA;Firenze;-0;-0;-0;“SENTIERI NELL’ARTE”. Il contemporaneo nel paesaggio toscano;arte ambientale; site specific; environment art; scultura all'aperto; scultura ambientata; land art;06.1 Curatela;info:eu-repo/semantics/closedAccess;1;MAZZANTI, ANNA;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/247158;eng ita;2004;-0;nazionale;Edizioni Poli.Design;ITA;Milano;design at work 2004;-0;-0;Design at work 2004;-0;06.1 Curatela;none;1;PALMIERI, STEFANIA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532245;ita ger;2004;-0;-0;Bompiani;-0;MILANO;-0;-0;-0;Edmund Husserl. Fenomenologia e teoria della conoscenza;-0;06.1 Curatela;none;1;VOLONTE', PAOLO GAETANO;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/243592;ita;2005;-0;nazionale;Clup Ed.;-0;Milano;-0;-0;-0;Gesticolando. cenni sulla diversità;-0;06.1 Curatela;info:eu-repo/semantics/closedAccess;2;"CRIPPA, DAVIDE;DI PRETE, BARBARA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/251057;ita;2005;-0;nazionale;Franco Angeli;-0;Milano;-0;-0;-0;Packaging design;-0;06.1 Curatela;none;1;BUCCHETTI, VALERIA LUISA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/261995;eng;2005;-0;internazionale;Edizioni Poli.Design;-0;Milano;-0;-0;-0;Designing Designers: Designing Hospitality- Visions, scenarios, systems, services, spaces and products;Hospitality design; Ospitalità;06.1 Curatela;none;2;"COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO";;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/266768;-0;2005;-0;nazionale;Edizioni Poli.Design;-0;Milano;-0;-0;-0;ManteroMood. Moviedesign for the silk concepì store La Tessitura_Como;-0;06.1 Curatela;none;2;"GALBIATI, MARIA LUISA;PIREDDA, FRANCESCA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/268961;eng;2005;-0;internazionale;Van Gorcum;NLD;Assen;-0;-0;-0;Methodology for Product Service System. How to develop clean, clever and competitive strategies in companies;-0;06.1 Curatela;none;3;"C. Van Halen;VEZZOLI, CARLO ARNALDO;R. Wimmer";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/274162;-0;2005;-0;nazionale;Edizioni Poli.Design;-0;Milano;-0;-0;-0;Performance. Designing for a cultural challange;-0;06.1 Curatela;none;3;"CRESPI, LUCIANO;PICCINNO, GIOVANNA;REBAGLIO, AGNESE";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532294;-0;2005;-0;nazionale;LibreriaClup;ITA;MILANO;-0;-0;-0;Costruire imbarcazioni da diporto. Esperienze in cantiere;-0;06.1 Curatela;none;3;"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;MAGGIULLI F.";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532316;ita;2005;-0;nazionale;CEA;ITA;MILANO;-0;-0;-0;Materiali e Design;-0;06.1 Curatela;none;4;"ROGNOLI, VALENTINA;PEDEFERRI, MARIAPIA;DEL CURTO, BARBARA;LEVI, MARINELLA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532352;ita;2005;-0;internazionale;POLI.design;ITA;MILANO;-0;-0;-0;Design, imprese, distretti. Un approccio all'innovazione;-0;06.1 Curatela;none;3;"ARQUILLA, VENANZIO;VIGNATI, ARIANNA;SIMONELLI, GIULIANO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532388;-0;2005;-0;nazionale;Moretti Honegger;ITA;BERGAMO;-0;-0;-0;La semiotica e le arti utili in undici dialoghi;-0;06.1 Curatela;none;1;ZINGALE, SALVATORE;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532437;ita;2005;-0;nazionale;Aracne Editrice;ITA;ROMA;-0;-0;-0;Il progetto in Biodesign. La costruzione di un percorso;-0;06.1 Curatela;none;2;"CANINA, MARIA RITA;VICENTINI, FEDERICO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532543;-0;2005;-0;nazionale;-0;-0;-0;-0;-0;-0;KIWI, Knowledge Interaction Web Instruction;-0;06.1 Curatela;none;1;COLORNI VITALE, ALBERTO;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532575;ita;2005;-0;nazionale;Clup;ITA;MILANO;-0;-0;-0;Costruire imbarcazioni da diporto - Esperienze in cantiere;-0;06.1 Curatela;none;3;"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA;F. MAGGIULLI";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532707;ita;2005;-0;nazionale;Silvia Editrice;-0;MILANO;-0;-0;-0;La coda della Q. 50 marchi per la Fondazione Quarta;-0;06.1 Curatela;none;2;"BUCCHETTI, VALERIA LUISA;MINOGGIO, MAURIZIO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/553865;-0;2005;-0;nazionale;Aracne;-0;Roma;-0;-0;-0;Hard Design. Il Product Design oggi, tra innovazione e creatività;-0;06.1 Curatela;none;1;INGARAMO, MATTEO ORESTE;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/662196;eng ita;2005;-0;-0;Polidesign;-0;Milano;-0;-0;-0;ManteroMood. Movie design for the silk concept La Tessitura_Como;movie design; comunicazione d'impresa; Mantero; videoinstallazioni; strategie di comunicazione;06.1 Curatela;none;2;"GALBIATI, MARIA LUISA;PIREDDA, FRANCESCA";;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/691044;ita;2005;-0;-0;Electa;-0;Milano;-0;-0;-0;Le case nella Triennale. Dal Parco al QT8;-0;06.1 Curatela;none;2;"CIAGA', GRAZIELLA LEYLA;TONON, GRAZIELLA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/691292;ita;2005;-0;-0;Moretti&Vitali;ITA;Bergamo;-0;-0;-0;La semiotica e le arti utili in undici dialoghi;Semitica; Arti; Design; Oggetti; Architettura; Spazi; Città;06.1 Curatela;info:eu-repo/semantics/closedAccess;1;ZINGALE, SALVATORE;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/692782;ita;2005;Nessuno;-0;CASVA, Centro di Alti Studi sulle Arti Visive, Comune di Milano;-0;Milano;-0;-0;-0;Luciano Baldessari e Milano. Progetti e realizzazioni in Lombardia;-0;06.1 Curatela;info:eu-repo/semantics/closedAccess;1;CIAGA', GRAZIELLA LEYLA;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/694273;ita;2005;-0;-0;CEA;-0;-0;-0;-0;-0;Materiali e Design;-0;06.1 Curatela;none;4;"LEVI, MARINELLA;PEDEFERRI, MARIAPIA;DEL CURTO, BARBARA;ROGNOLI, VALENTINA";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/242885;-0;2006;-0;internazionale;Aracne Editrice;-0;Roma;-0;-0;-0;La luce come strumento di progetto;-0;06.1 Curatela;none;2;"ROSSI, MAURIZIO;SEASSARO, ALBERTO";;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/269198;-0;2006;-0;nazionale;Politecnico di Milano;-0;Milano;-0;-0;-0;KIWI, Knowledge Interaction Web Instruction;-0;06.1 Curatela;none;1;COLORNI VITALE, ALBERTO;;;;;;;;;
06 CURATELA::06.1 Curatela;http://hdl.handle.net/11311/532241;ita;2006;-0;-0;FrancoAngeli;ITA;MILANO;-0;-0;-0;Comunicare le identità. Percorsi della soggettività nell'età contemporanea;-0;06.1 Curatela;none;2;"L. BOVONE;VOLONTE', PAOLO GAETANO";;;;;;;;;
